Title,Review,Town,Region,Type,Polarity
Degradable,El lugar es espacioso pero el servicio es muy lento La comida ha llegado fría y el caldo de pollo en ensalada.,Zacatlan,Puebla,Restaurant,1
Decepcionado.,"Decidimos saltar el agua azul, ya que estaba llena de turistas para agua clara. Sabíamos poco, era una mala decisión. Seguimos las indicaciones, pagamos la entrada y fuimos hasta el río para encontrar menos claridad. Fue una total decepción. No, no había ajustes de agua turquesa preciosa. El lugar era preocupante. Tal vez el tiempo que visitamos no era bueno. La gente en la ""puerta"" donde pagamos la tarifa de entrada habría debido decir que no había nada que ver. Pero en lugar de eso, tomó el desvío.",Palenque,Chiapas,Attractive,1
El lugar más hermoso para vivir,El peor restaurante del valle del Bravo El peor restaurante del valle del Bravo La atención de la mujer responsable del FATAL Plates y mantas sucias El único buen punto de vista,Valle_de_Bravo,Estado_de_Mexico,Restaurant,1
El servicio de mensajería más pesado.,"Seguimos las recomendaciones de esta página y todo estaba bien, pedimos la comida y cuando empezamos a comer un miembro de la familia pidió sal o no, no recuerdo que era el caso, pero la amante le hizo cosas, por casualidad, era marrón, tamaño medio, tal vez ya tenía más...Más",Creel,Chihuahua,Restaurant,1
La Madre Tierra es un buen lugar.,"La comida es buena, las bebidas en el desayuno muy frescas, el zumo de naranja o zanahoria. En el restaurante hay una pareja de chicas con un perro, que lo traicionan y se levantan de vez en cuando en vez de acercarse a nuestra mesa y al vecino. No... hay un cartel o un servidor que sugiere a la persona que tiene la amabilidad de atar a su perro. Creo que deberían poner un cartel ""SE PERMITEN PERROS SUELTOS"" y de esta manera, no sería sorprendente que un rico desayuno grite a un perro.",Tapalpa,Jalisco,Restaurant,1
"Exigir propina, nada recomendado, nada malo.","El lugar parece bueno, pero exigen la limpieza, el artículo 10 de la ley profética lo prohíbe y todavía han demostrado ser extremadamente exigentes al preguntar, y no lo han pedido por grupo, si no por persona, es una pena porque parece ser un lugar agradable....Más",Tlaquepaque,Jalisco,Restaurant,1
Un servicio mediocre y los precios no coinciden con lo que sirven.,"No volveré más. Fui a conocerlos por su fama. El mal servicio, la comida deja mucho que desear para lo que cuesta. La atención no es profesional para la celebridad que tiene. Hay que pedir cosas hasta cinco veces para que nos sean entregadas.",Teotihuacan,Estado_de_Mexico,Restaurant,1
Es increíble que el servicio sea tan malo como el que tiene tanta gente.,"Me sorprende realmente, en estado de shock, que un restaurante con un servicio tan terrible de gente grosera, cobarde y sin interés en servir tenga clientes, pueda ser un turismo que no sabe y cae en sus garras porque de otra manera es inconcebible.",Bernal,Queretaro,Restaurant,1
"Una casa sucia, un mal servicio.","Mi novia y yo tuvimos una experiencia horrible con este hotel. el personal era grosero e inútil, el servicio al cliente era deficiente y la habitación que reservamos era sucia, incluso encontramos un condón usado en el baño.",Isla_Mujeres,QuintanaRoo,Hotel,1
Ni cerca,"No tengo ni idea de cómo este restaurante ha ganado muchos comentarios favorables. Es un espacio agradable, pero la comida es cara y completamente insípida. El pollo con curry amarillo y los fideos tailandeses aburrido absolutamente nada que ver con los platos con el mismo número en... otros restaurantes asiáticos. El embalaje vegetal era bueno, pero después de la aplicación salir y ahorrar dinero para un mejor lugar.Más",TodosSantos,Baja_CaliforniaSur,Restaurant,1
Sobrevalorado Survalorado,"Mi esposo y yo nos quedamos en este hotel del 17 al 20 de septiembre, porque parecía súper hermoso y lo recomiendo fuertemente, pero honestamente, eso no es lo que dicen, cuando llegamos, querían manejar como ""Upgrade"" una habitación en el jardín (yo pago por una habitación colonial (con balcón y chimenea) y luego pedí la ración por la que pagamos y con muy mala envidia la vendimos, porque aparentemente se la habían vendido a alguien.",San_Cristobal_de_las_Casas,Chiapas,Hotel,1
La falta de iniciativa y de prevención,"Cuando vas a un club de playa, esperas un camastro donde podrás disfrutar del sol, ver la playa y tomar buenos cócteles, porque no es lo que pasó aquí, sé que lo que llueve no es culpa de nadie, sino que si...Más",Tulum,QuintanaRoo,Restaurant,1
¡No te quedes aquí!,"¡No se adaptarán a ninguna de sus necesidades, no darán a mi familia ningún cupón de crédito porque tuvimos un problema de pasaporte y no pudimos respetar la fecha! ¡Buscamos sólo un poco de consideración pero nada! Estoy seguro de que perderán más dólares con estas tácticas que trabajar con los invitados!",Mazunte,Oaxaca,Hotel,1
No respetaron mi reservación.,"He sido un cliente frecuente de este establecimiento durante muchos años. Siempre hemos recibido un buen servicio, pero este año estoy muy decepcionada porque no han respetado mi reserva que he hecho desde septiembre para la última semana del año.",Ixtapan_de_la_Sal,Estado_de_Mexico,Hotel,1
¡Los invitados de la boda fueron robados en la recepción!,"Desafortunadamente, casi la mitad de las habitaciones de más de 80 invitados a la boda fueron robadas en la recepción los sábados por la noche y la dirección del hotel fue extremadamente incoherente al ayudarnos a mantener relaciones con la policía.",Tulum,QuintanaRoo,Hotel,1
Un 5 estrellas Dejando corchos amarrados a la mesa,"Decidimos visitar el hotel porque se distingue como el mejor de la ciudad, tiene una vista excelente, pero el hotel todavía tiene mucho que desear. 1- El hotel es difícil de acceder porque se monta en una colina con pendientes muy largas o usted lo hace por cable que incluso si usted pertenece al hotel como huéspedes, usted tiene que pagar cada vez que lo utiliza 2.-La atención del personal de la recepción es muy fría y no le hace sentir el calor de llegar a un hotel y sentirse en casa como si usted fuera robots solos",Taxco,Guerrero,Hotel,1
Hay mucho espacio.,Supuestamente una de las mejores recomendaciones del portero era la más cara del menú Todo es frío y sin sabor El servicio lento y sin interés La última buena instalación.,Valle_de_Bravo,Estado_de_Mexico,Restaurant,1
Hay mejores opciones.,"Los tacos son buenos, pero hay mejores opciones y muchos buenos platos, no entiendo por qué está clasificado como el mejor restaurante.",Sayulita,Nayarit,Restaurant,1
Descuidado y decepcionante.,"Esperábamos ver ruinas muy frías pero estábamos muy decepcionados. Había algunas ruinas, pero lo que realmente era... un antiguo zoológico abandonado / parque.",Isla_Mujeres,QuintanaRoo,Attractive,1
¡Despertad!,"La comida normal, el triste es el servicio, parece que tienen clientes de primera y segunda clase, estábamos ansiosos de conocerlo, pero incluso si la comida es decente, si usted no tiene un buen servicio, todo se arruina!",Bernal,Queretaro,Restaurant,1
Muy mal servicio.,"Todo es complicado en este hotel, es imposible reservar para cenar en los restaurantes, si usted pasa el tiempo de reservar o de hacerse llevar, o si usted tiene que esperar las carruajes de 15 a 20 minutos y usted baja para subir a otro carruaje a la comodidad de los conductores.",Tulum,QuintanaRoo,Hotel,1
La seguridad en el mundo es la mejor.,"Quiero ser muy claro sobre esta opinión para no decepcionar a muchos turistas que piensan ir ... he estado varios días en el hotel Playa paraíso de esta playa ... el hotel es muy bueno, la atención increíble, los incentivos simples pero demasiado completa para que lo elija para estar en la playa pero lo he hecho para la playa pero desafortunadamente hay un fenómeno desde octubre 2014 hasta ahora y ni siquiera sé cuando más algas que es demasiado triste cuando usted ve fotos de larga data usted.",Tulum,QuintanaRoo,Attractive,1
Eso es muy malo.,"Fue reservado para 8 días, pero el mismo día que quería vivir, vine a trabajar y el WiFi era muy malo y la habitación no es la misma que las fotos que usted paga solo porque está a 10 pasos de la playa, pero justo ahora el agua. en el océano es sucio y soleado, por lo que Sayulita ya no es tan hermosa como hace 5 años y el hotel cuesta 120 USD por noche y sólo tiene el tamaño de una cama Queen y no hay más espacio y un pequeño balcón.",Sayulita,Nayarit,Hotel,1
Mal gusto de la boca !!!,"Estaba ansioso por descubrir este hotel porque había sido muy bien diseñado, y qué gran decepción al comenzar, porque después del check-in, literalmente nos llevaron a un carruaje de golf pero atrás con el equipaje (lo que no era más cómodo para nosotros para entrar en la habitación y volver para el equipaje) bueno, pequeño detalle, después de las habitaciones no tenían toallas en el baño, necesitaba pedirlas a la recepción a todos los que realmente me preguntaban, en la zona del albergue, era lo mismo que pedir toallas y si usted quería ser.",Palenque,Chiapas,Hotel,1
Las mejores opciones de comedor,"Muy bien decorado, pero la comida era probablemente la peor que hemos tenido desde nuestra estancia. verduras en conserva, fajitas, salsas de salsa y una mezcla de lagos como su salsa de mango.",TodosSantos,Baja_CaliforniaSur,Restaurant,1
Tenemos que mejorar.,"Hay que tener más limpieza en el lugar, sobre todo para los que trabajan en la manipulación de los alimentos y que no tienen el gusto de la comida.",Valladolid,Yucatan,Restaurant,1
Un hotel muy pequeño.,"2 febrero 2015 Muy mala limpieza, polvo, humedad muy sucia que no puede dormir y mucho ruido; décadas que hay un desayuno continental buffet pero es un fraude ..desayuno solo cereales y pan... hay un pan que ella pone en la mesa con un papel de 10 pesos c/uno.no hay microndes ... que han sido llenados para el café también...no hay cambio de toallas en 3 días... usted ha cambiado el foco de mi habitación y de lo que con mucha luz y va a pagar más.....combrasaje 1300 un día...y quiero que a este precio pueda ser de vacaciones que un hotel de vacaciones que",Valle_de_Bravo,Estado_de_Mexico,Hotel,1
Fatal,"Bajo servicio y tratamiento de su personal, viejas cabañas, chiquitas y vicios, el alto precio por un servicio tan terrible, nada recomendado para alojarse.",Tulum,QuintanaRoo,Hotel,1
"Mal, peor, peor... en un lugar perfecto.","Después de haber estado en la Playa Media Luna, nos mudamos a una tienda de lujo en Charlies. Tuvimos que elegir este hotel porque estábamos muy atrasados y queríamos estar cerca de Playa Norte. Todos los hoteles estaban llenos. La primera impresión del hotel era terrible. No había lugar. Viejo. No apestó bien. Todo está en su lugar. No hay organización. reservar un programa de estilo papel, con algunos fragmentos. Las llaves no se encuentran. Chaos!",Isla_Mujeres,QuintanaRoo,Hotel,1
Los nombres y precios de los gourmets son alimentos baratos de mierda.,"Esperar nombres exóticos golosos en el menú, precios baratos poco convincentes. Verduras congeladas, alimentos sin pan frito, o nada en absoluto esperando por lo menos 40 minutos para su comida. Volver a mi comida y la de mi hijo. El pollo era crudo! Mis verduras estaban congeladas y... simple! Puedo recomendarlas en este momento. Es el riesgo de intentar nuevos lugares. Ambos son carnes o sorprendentes. Más.",Valladolid,Yucatan,Restaurant,1
Un buen lugar para comer un mal restaurante.,"El potencial de la granja, la ubicación y el medio ambiente no son malos, pero la gestión de la cocina de los clientes no son de la misma calidad que el lugar.",Tlaquepaque,Jalisco,Restaurant,1
El peor servicio.,"Teníamos una mesa para cuatro niños y otros dos, queríamos un par de sillas y la respuesta era no, no puedo hacer nada, qué decepción.",Tequisquiapan,Queretaro,Restaurant,1
Vete a vivir a otro lado.,"Si hubiera estado aquí para unas vacaciones, habría sido alterado. El hotel ha sido abandonado durante años (los habitantes dicen) y ciertamente no miro la parte. La cerradura de mis puertas estaba cayendo. sin pedidos de la caja, tuve que pedir un microondas en mi habitación, por no hablar de - el HORMIGAS por todas partes.",Isla_Mujeres,QuintanaRoo,Hotel,1
El servicio es muy mediocre y no hay recibo.,"Nos fuimos de Cancún en coche. Había reservado en un restaurante cercano (Hartwood) entonces mi esposa y yo vinimos aquí por la hora feliz. Al sentarnos en la playa para las bebidas, nos dijeron que la hora feliz es sólo en el bar. Así que... allí. Había un poco de confusión sobre el reciente cambio de tiempo, así que el camarero (uleless) nos informó que todavía tenía 15 minutos de hora feliz y nos empujó a conseguir bebidas antes, aunque obviamente se quejaba de los otros clientes.",Tulum,QuintanaRoo,Restaurant,1
No recibí mi factura de consumo.,"El restaurante es bueno, con atención y comida, pero antes de pagar, pregunté a tiempo si estaban haciendo la factura y si realmente estaban enviando la factura por correo. No quería volver a casa y resolver este problema.",Valladolid,Yucatan,Restaurant,1
No hay recomendaciones,"Queridos a los pobres, a las viviendas oscuras, al personal poco amable, a los muebles de la habitación vieja, nos quedamos una noche porque visitamos el cañón, es la única ventaja de este pueblo, no hay mucho que hacer allí, sería mejor ir a Tuxtla, que está muy cerca y si hay hoteles y restaurantes bien conocidos.",Chiapa_de_Corzo,Chiapas,Hotel,1
Una experiencia emocional horrible.,"Es difícil explicar cómo me sentí fatalmente después de este experimento. Había cinco delfines en una sola piscina, sólo había entrenadores que podían obtener el enfoque que la gente era para la pesca, su rendimiento era bastante evidente para la comida. Las fotos son demasiado caros. El agua era turbosa y no el agua azul que se ve en las fotos (foto - compras por supuesto). Nunca volveré a algo que se parece remotamente a delfines cautivos utilizados para el turismo de oportunidad.",Tulum,QuintanaRoo,Attractive,1
Un tema en la tienda maya.,"El primer lugar a donde la visita le lleva es una tienda de regalos para comprar joyas, etc. El precio es más que doble. Cuando usted compra un anillo, usted no tiene idea de su tamaño y usted sólo está haciendo la altura para comprar. La visita en sí era hermosa, pero la mejor manera de ver lo que es alquilar un coche.",Tulum,QuintanaRoo,Attractive,1
La desgracia es una enfermedad.,"Todo el mal al principio..... tuve que hacer mi reserva por teléfono para ser considerado como una tarifa especial que tenía para un evento, para que mi teléfono me respondiera, pasé horas y varios intentos, pero finalmente no respeté la tarifa.El proceso de verificación es largo y tedioso, con varios papeles y firmas, y quería hacer la primera carga de la habitación en el restaurante, me dijeron que no tenía una cuenta abierta (en la recepción, ya tenían los datos de mi tarjeta y nunca me preguntaron) y que sí, querían decirme que no tenía una cuenta abierta (en la recepción, ya tenían mis datos de tarjeta y nunca me pidieron).",Valle_de_Bravo,Estado_de_Mexico,Hotel,1
"Dicen que son de cuatro estrellas, pero debe haber cuatro asteroides.","Un cartel anunciaba a la entrada que se trataba de una estufa estrella. Me lo vendieron como un hotel de categoría más importante en comparación con lo que había en el paquete original (no puedo imaginar lo que sería el otro!) y, por supuesto, me cobraron una diferencia. Este lugar es una clara prueba de que la gestión de las estrellas en México es una plaga.",Palenque,Chiapas,Hotel,1
Pessimo gira,"El aparcamiento insuficiente y mal informado, los agentes de seguridad poco amables, la guía sin gusto (el guión tal vez bien escrito), las vides, las tiendas actuales, sólo las viejas (llamados ""museo,"" pero eso no hace ningún trabajo museográfico). La tienda sin recuerdos y los baños sucios. No hay catas, no hay comida. No venden ningún vino que no se encuentra en todo el país. Y por las normas del estado de Coahuila, sólo venden hasta las 14:00, creo que depende del día.",Parras,Coahuila,Attractive,1
una experiencia muy positiva.,"Asistimos al evento para celebrar el cumpleaños de mi esposa en familia de sólo 5 personas, el servicio era generalmente lento, pero finalmente nos dimos cuenta de que entregaban pasteles en mesas donde se celebraba una celebración, pidiendo el regalo de la fiesta de... Más",Cholula,Puebla,Restaurant,1
Ni siquiera podemos caminar delante de un vendedor ambulante.,"Lástima que las autoridades dejaran proliferar los puestos de mercaderes ambulantes, que no dejaran un solo lugar donde no eran apóstatas dejando una vista repugnante de un pueblo que era hermoso, que plazas de restauración invadieran la plaza principal, las calles y la subida del Tepozteco, que tuvieran que hacer algo para recuperar el esplendor de este pueblo tan hermoso.",Tepoztlan,Morelos,Attractive,1
poca atención,"La semana pasada, sábado 30 de marzo, fuimos a este hotel Luna Canela para ver las habitaciones y pasar la noche en una suite principal, pedimos ver el apartamento antes de pagar, y era un alojamiento excelente y la ubicación, así que decidí ir a la recepción y pagar $ 4,015.00 por una noche sin contar que la noche de alojamiento, página allí fui invitada por mí mismo en el aeropuerto de Huejotzingo, para proceder a la vuelta a Atlixco alrededor de las 22 horas, y pedir la llave de la habitación que ya está pagada, yo la pedí.",Atlixco,Puebla,Hotel,1
Hay mucha experiencia.,"Un servicio muy mediocre, la comida fría, el camarero más viejo no nos esperaba, la falta de tortillas, las parrillas muy pobres y frías y finalmente muy caras.",Tlaquepaque,Jalisco,Restaurant,1
Hicimos dolencias con su comida.,"No sé lo que nos dieron, pero las hamburguesas vegetarianas que eran muy ricas nos hicieron sufrir un fuerte dolor de estómago que arruinó nuestras vacaciones, tuvo que salir de este lugar para desayunar y tener que ir al hotel y no poder salir...Más",San_Cristobal_de_las_Casas,Chiapas,Restaurant,1
Puedes pagar la habitación de 1800 pesos por camas y literas.,"Para no volver a la habitación con mini cama matrimonial, cobrarla a 1800 pesos con una cama que tiene los recursos suficientes para que no te avisen al hacer la reserva y no le devuelvan el dinero.",Ixtapan_de_la_Sal,Estado_de_Mexico,Hotel,1
Hotel muy degradado.,"El hotel necesita mucho mantenimiento, pide un depósito y sólo hay tiempo para pagar, pero la casa ya está pagada, lo que realmente me sorprende porque tiene una sombra increíble, un tiempo de instalación.",Isla_Mujeres,QuintanaRoo,Hotel,1
La peor comida de nuestro viaje a Yucatán.,"Era una combinación de turismo con un hermoso Yucatán, la comida estaba tan mal preparada como cualquier otra comida que he probado en México, y podría haber sido exacerbada por un autobús turístico que había descargado unos cuarenta barcos... de crucero fatties (Carnaval creo) en un servicio de viaje de un puerto para ver las auténticas ruinas mayas y comer en un restaurante auténtico del Yucatán. La cochinita pibil, de pollo, era una broma gloppy.",Izamal,Yucatan,Restaurant,1
"Es un hotel a la vista, no hay buen servicio en las habitaciones.","Cuando llegamos, las sabanas eran malas, sin zapatos, sin tallas, sin jabones, sin champú, sin agua, sin servicio de habitación, todo lo que tuvimos que pedir uno a uno porque no los llevaban, el agua de la Alberta era HELLAD!!!!!! los empleados muy arrogantes, la comida mala, por el precio que pagamos sin mérito, ofrecen lo que no tienen y muy caro lo que ofrecen de mala calidad.",Tequisquiapan,Queretaro,Hotel,1
Evite esta ciudad no mexicana.,"Acabo de llegar del PVR 31 en 2015. Ha estado en México 10 o 11 veces. Me han dicho que para ir a este pequeño pueblo de surf, fresco, que me parecía ser una gran ciudad llena de restaurantes caros, estudios de yoga, tiendas de joyas, de golf-carrotes con ruedas, tiendas de bienes raíces y cajones automáticos... probablemente el sitio más pretencioso donde he estado en México. La playa es sucia, el agua es sucia, y hemos visto un número de peces muertos rebosando en la orea... quiz.",Sayulita,Nayarit,Attractive,1
"Comida grasenta, camarero grosero, es una comida.","Como vegetariano, me aseguro de que mis alimentos no contengan animales o productos de origen animal.La mayoría de las restricciones aquí han sido extremadamente agradables y permiten acoger platos para mí - Vivian el server era extremadamente grosero.Cuando pregunté si el queso y el...pollen estaban en mi sándwich, ella va a ser vegetariana?",Isla_Mujeres,QuintanaRoo,Restaurant,1
Mal servicio,"Hicimos una reserva en el hotel por la página, pero todo el tiempo estuve en comunicación con el personal del hotel donde me recomendaron reservar algunos días, ya que no tenían fin de semana o septiembre disponible, me dijeron que la reserva era sólo por la página, hicimos la reserva el carguero se hizo dos veces más que la cantidad y marca un error en la página pero el carguero si se hacía ..... ese día nadie cuestionaba en el hotel ni la persona con la que estábamos en contacto.",Cuatro_Cienegas,Coahuila,Hotel,1
Restaurante Seudoitaliano,Visitamos este lugar porque nos dijeron que era uno de los mejores lugares italianos del Valle del Bravo.,Valle_de_Bravo,Estado_de_Mexico,Restaurant,1
Una atención terrible para los turistas.,"Visité las pirámides y no tenía guía, me perdí (esperé en el estacionamiento número 1), empecé a caminar hacia diferentes parques y en el estacionamiento 5 pedí ayuda a la policía y reaccioné bien que no podía ayudarme, era horrible mi experiencia, si quieres, camina con el guía.",Teotihuacan,Estado_de_Mexico,Attractive,1
Comida lenta y barata.,"Pedimos almuerzos para dos personas, tomó alrededor de 1,30 minutos y la carne no era buena, fue genial.",Cuatro_Cienegas,Coahuila,Restaurant,1
"Cuidado, terrible.","Si pusieron una vida en respuesta, la comida estaba fría y cuando pedimos atención, se enfadaron.",Metepec,Estado_de_Mexico,Restaurant,1
La comida y el servicio son muy difíciles.,"Una gran tienda de restaurante, un mal servicio y hay que esperar a que se le asigne una mesa, caro y para la comida y el servicio que se recibe, un mal gusto para mí, aparte de la comida que se pide para los niños es una tienda grande, parece que más...",Teotihuacan,Estado_de_Mexico,Restaurant,1
"Un lugar violento y devastador,","Un lugar abusivo y fallado, no te presentan la tarjeta si sólo quieres probar sus ollas, te ofrecen dos tipos de tequila (los más caros) que no te advierten que no recibirán pago con tarjeta y finalmente obtienes una cuenta exorbitante y...Más",Tlaquepaque,Jalisco,Restaurant,1
¡El Puajj!,"Si no se supiera que este lado del lago estaba contaminado, el viaje a la isla habría sido más agradable.",Patzcuaro,Michoacan,Attractive,1
Pesimo es un hotel de lujo.,"Llamamos para comprobar la disponibilidad del día de paso, el conserje Joshua nos confirmó que tenían espacio y nos dijo que estábamos llegando al hotel, después de lo cual recibimos una llamada que no pudimos responder porque nos apresuramos a pasar un buen día en el hotel que tanto queríamos conocer y cuando llegamos, nos dijeron que no tenían espacio, que el conserje había cometido un error y que no podíamos entrar en el hotel, Joshua no estaba disponible y por lo tanto.",Tulum,QuintanaRoo,Hotel,1
"Viaje a Dolores Hidalgo, Guanajuato.","Héctor es un grosero, un villano y un despotario, las habitaciones son demasiado sucias y demasiado caras para ser tratadas. Nada aconseja. No alojarse en este horrible lugar. Usted tendrá una mala vida y gastará mucho. Nunca lo haga.",Dolores_Hidalgo,Guanajuato,Hotel,1
"Una mala experiencia con la falta de cuidado y respeto que tienen por su tesoro principal de la región, LA FAUNA.","En una reserva ecológica (Palenque) es inadmisible no respetar a los huéspedes y a la fauna circundante, tocar música discoteca a pleno volumen hasta medianoche para terminar por la mañana con fuegos artificiales, explosiones sin el más mínimo respeto por su principal atractivo, monos saraguatos aulladores (aluata paliata), aves, coatis, mapuche.",Palenque,Chiapas,Hotel,1
"Querida hermana,","Tenía ganas de sushi, pero, aunque rico, es muy caro, luego encontré otro restaurante chino donde también había sushi a un precio razonable.",Taxco,Guerrero,Restaurant,1
Mal servicio,"La comida sin sabor y fría. La única cosa que lo salva son los mariachis. Hay mejores restaurantes en los alrededores, hay mejores opciones en Tlaquepaque.",Tlaquepaque,Jalisco,Restaurant,1
"Desafortunadamente, somos muy felices.","Aprovecha ampliamente la buena situación que la rodea de la destilería de José Cuervo. La comida es mala, sin temporada ni sabor; no se parece a México. Fuimos allí porque el guía del tour del tequila nos lo recomienda, pero la experiencia ha sido bastante mala....Más",Tequila,Jalisco,Restaurant,1
Evite esto.,"Si estás buceando, puede que sea mejor, pero no tienes equipo para bucear.",Tulum,QuintanaRoo,Attractive,1
VOMITOSIS es una enfermedad del vómito.,"Me gustaría encontrar un caso más agradable de Servicio! Empecé diciendo que tenía un motel, así que entiendo el servicio y la relación calidad-precio. Habíamos reservado una semana en este garaje. No pudimos durar más de una noche.",Isla_Mujeres,QuintanaRoo,Hotel,1
El servicio más caro.,"El servicio era muy malo, no lo recomiendo, más de 30 minutos para servir un trozo de pastel y un café, la actitud del camarero deja mucho que desear.",Sayulita,Nayarit,Restaurant,1
Gimnasio y restaurante,"Es decepcionante llegar a un hotel que se supone que es bueno y encontrar este tipo de instalaciones, por otra parte, el servicio del restaurante es extremadamente mediocre y lento.",Valle_de_Bravo,Estado_de_Mexico,Hotel,1
El restaurante es la GRUTA malisimo.,"El servicio no es malo pero pesado, la comida es carismática y sirven poco, para que un mensajero le sirva puede pasar más de 30 minutos, por supuesto, no le ofrecen una copa antes, le piden la prop de casi una punta de pistola, su...Más",Teotihuacan,Estado_de_Mexico,Restaurant,1
Mala comida y caridad.,Era mi primera visita a este restaurante y la comida era realmente terrible! Los cortes eran muy malos.,Tlaquepaque,Jalisco,Restaurant,1
"Mal servicio y largas expectativas, no vale la pena.","Hice una salida para tomar aire fresco y vi que los clientes estaban interesados en la limpieza y no en un buen servicio, así como el propietario no quiere que la gente llegue sin preocuparse por...",Ixtapan_de_la_Sal,Estado_de_Mexico,Restaurant,1
El servicio de restaurante es terrible y no hay normas en este hotel.,"Hoy, 1 de junio de 2017, tomé la comida con mi madre (de mayor edad) en este hotel. El restaurante estaba vacío, para no causarles demasiados problemas, tomó mucho tiempo para servirle el segundo tiempo del menú pedido por mi madre, ¿por qué? La mesa estaba perdiendo tiempo en otro lugar y, viendo el retraso, fue a la cocina y permaneció allí mucho más tiempo.",San_Cristobal_de_las_Casas,Chiapas,Hotel,1
TOTAL ENGAINE y ROBOT es una empresa que se ha creado.,"No sé dónde detener la crítica de este tipo de Tours, por eso generalmente hablo de las Torres que intentan vendernos cuando entramos en la zona de TULUM.",Tulum,QuintanaRoo,Attractive,1
El Pésimo Hotel es un hotel de lujo.,"Hemos reservado una habitación con vistas a la montaña (que es más cara que la de la piscina) y la cama rey, cuando llegamos, nos asignaron una habitación con dos camas gemelas y vistas a la piscina, que propusieron combinar las camas porque no tenían más habitaciones disponibles, pero nunca lo hicieron. Para utilizar las zonas del espacio del spa, las casas de la casa cuestan 40 dólares por persona.",Ixtapan_de_la_Sal,Estado_de_Mexico,Hotel,1
"Concurrentes, comerciales y nada nuevo.","La playa es hermosa, pero ya he dicho lo suficiente. La comida es incómoda por el precio, esperaba mucho más. Los camareros corren todo el tiempo. No hay mucho que hacer allí.",Tulum,QuintanaRoo,Attractive,1
"Tiene una buena tarifa, pero un servicio muy duro.","Si usted está dispuesto a pasar por alto muchos inconvenientes, es su elección. El servicio en el momento de registrarse es muy lento, Internet es corto lo que le impide seguir trabajando, el servicio a tiempo le responde sin tener ganas de responder, si usted tarda en enviar las facturas, las marcas y si usted está a cambio de vuelta le piden pasar a antes. y tuve que elegir este hotel porque estaba más cerca del aeropuerto, otros hoteles no estaban disponibles.",Tlaquepaque,Jalisco,Hotel,1
No vale la pena ser visitado.,Me encanta el pozol. Este lugar dio la vuelta. No sé si era porque estuvimos aquí el lunes después de la Semana de Navidad pero todo estaba fuera de servicio. No sé por qué comer bajo las luces fluorescentes deslumbrantes con un servicio mediocre tan alto?! 1. Este... lugar no tiene vista. Tal vez decidimos poner baños donde las ventanas dan al valle. Hay dos pequeñas ventanas que se pueden observar para capturar la vista. 2. Sólo 1 de los 3 pozols eran para ofrecer.,Taxco,Guerrero,Restaurant,1
"Debería ser llamado Los Recelosos, comida sucia, sucia y sin servicio.","Mira el resumen de Los Lirios Tulum: nos encontramos con otras familias mientras estábamos allí. Todos estaban tristes y nadie podía recuperar su dinero para ir a otro lugar. Terminamos por ir a Ana y Jose y Cabanas Tulum para comprar comida y bebidas con nuestros hijos para el almuerzo. Además, el aire acondicionado no funciona muy bien porque los techos son tan altos en los palacios que el aire acondicionado no puede enfriar todo el espacio. Debido a que no tienen mosquitos, no se pueden abrir las ventas.",Tulum,QuintanaRoo,Hotel,1
Villa Rolandi sobrevalorada,"Después de leer muchas críticas entusiastas sobre el Hotel Villa Rolandi, hemos reservado 2 habitaciones para una semana del 23 de febrero. Se nos ha dicho que el yate privado del hotel. encontrarnos en el muelle en Cancún para nosotros que el transporte del hotel. Nuestro viaje comenzó con los yates (catamaranes) 20 minutos de retraso.",Isla_Mujeres,QuintanaRoo,Hotel,1
La peor experiencia personal del bulto,"Este lugar fue recomendado por nuestro hotel, que nos dijo que deberían tomar en su lista después de nuestra experiencia. Parecía un jardín fresco ambiente para una agradable cena tranquila, pero cuando entramos en el anfitrión estaba al teléfono y parecía molestarle... incluso entrar. Nos sentamos en el bar esperando una mesa, aunque había varias mesas libres. El servidor nunca sonreía y el personal en general era desagradable. Necesitan entender que sólo porque no son de su familia.",Isla_Mujeres,QuintanaRoo,Restaurant,1
"Jefe de cocina, no profesional.","El servicio del camarero era muy bueno, el chef se negó a preparar un plato que todo el restaurante quería, aunque tenía los ingredientes, donde se contentaba con sus clientes incluso cuando sólo había dos mesas en el restaurante.",TodosSantos,Baja_CaliforniaSur,Restaurant,1
EXCELENTE,"Un hotel al aire libre con vistas espectaculares, habitaciones modernas y lujosas decoradas por diseñadores de renombre. comodidades de diseñadores, pañales swarovsky y gran lujo con un estilo y un gusto excepcionales.",Bernal,Queretaro,Hotel,1
Pagamos y nos fuimos de inmediato.,"Como dijo otro comentarista, nos fuimos en un fin de semana de viernes de Pascua y esencialmente en lo que parecía ser la piscina pública más frecuentada que se puede imaginar. Literalmente pagamos nuestra cuota de entrada, echamos un vistazo, y a la izquierda. El cénote estaba lleno de gente en rescate, así como visitantes que caminaban por la cima mirando el baño y una cola de gente que esperaba saltar. La piscina y los alrededores estaban llenos de niños y familias.",Tulum,QuintanaRoo,Attractive,1
